"name2","moku","island","moku_olelo","island_olelo"
"EWA","Ewa","Oahu","‘Ewa","O‘ahu"
"HALELEA","Halelea","Kauai","Halele‘a","Kaua‘i"
"HAMAKUA","Hamakua","Hawaii","Hāmākua","Hawai‘i"
"HAMAKUALOA","Hamakualoa","Maui","Hāmākualoa","Maui"
"HAMAKUAPOKO","Hamakuapoko","Maui","Hāmākuapoko","Maui"
"HANA","Hana","Maui","Hāna","Maui"
"HILO","Hilo","Hawaii","Hilo","Hawai‘i"
"HONUAULA","Honuaula","Maui","Honua‘ula","Maui"
"KAANAPALI","Kaanapali","Maui","Kāʻanapali","Maui"
"KAHIKINUI","Kahikinui","Maui","Kahikinui","Maui"
"KALAWA","Kalawa","Molokai","Hālawa","Moloka‘i"
"KALUAKOI","Kaluakoi","Molokai","Kaluako‘i","Moloka‘i"
"KAU","Kau","Hawaii","Kaʻū","Hawai‘i"
"KAUPO","Kaupo","Maui","Kaupō","Maui"
"KEALALOLOA","Kealaloloa","Maui","Kealaloloa","Maui"
"KIPAHULU","Kipahulu","Maui","Kīpahulu","Maui"
"KOHALA","Kohala","Hawaii","Kohala","Hawai‘i"
"KONA HAW","Kona","Hawaii","Kona","Hawai‘i"
"KONA KAH","Kona","Kahoolawe","Kona","Kaho‘olawe"
"KONA KAU","Kona","Kauai","Kona","Kaua‘i"
"KONA LAN","Kona","Lanai","Kona","Lāna‘i"
"KONA MOL","Kona","Molokai","Kona","Moloka‘i"
"KONA NIH","Kona","Niihau","Kona","Ni‘ihau"
"KONA OAH","Kona","Oahu","Kona","O‘ahu"
"KOOLAU KAH","Koolau","Kahoolawe","Ko‘olau","Kaho‘olawe"
"KOOLAU KAU","Koolau","Kauai","Ko‘olau","Kaua‘i"
"KOOLAU LAN","Koolau","Lanai","Ko‘olau","Lāna‘i"
"KOOLAU MAU","Koolau","Maui","Ko‘olau","Maui"
"KOOLAU MOL","Koolau","Molokai","Ko‘olau","Moloka‘i"
"KOOLAU NIH","Koolau","Niihau","Ko‘olau","Ni‘ihau"
"KOOLAULOA","Koolauloa","Oahu","Ko‘olauloa","O‘ahu"
"KOOLAUPOKO","Koolaupoko","Oahu","Ko‘olaupoko","O‘ahu"
"KULA","Kula","Maui","Kula","Maui"
"LAHAINA","Lahaina","Maui","Lāhainā","Maui"
"MANA","Mana","Kauai","Mana","Kauaʻi"
"NAPALI","Napali","Kauai","Nāpali","Kaua‘i"
"PALAAU","Palaau","Molokai","Pālāʻau","Moloka‘i"
"PUNA HAW","Puna","Hawaii","Puna","Hawai‘i"
"PUNA KAU","Puna","Kauai","Puna","Kaua‘i"
"PUNA NIH","Puna","Niihau","Puna","Ni‘ihau"
"WAIALUA","Waialua","Oahu","Waialua","O‘ahu"
"WAIANAE","Waianae","Oahu","Wa‘ianae","O‘ahu"
"WAILUKU","Wailuku","Maui","Wailuku","Maui"
